YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1983,6,3,29.37,10.85,20.11,30.51,13.21,35.32,22.11
1983,6,4,28.57,9.8,19.19,29.89,14.63,35.53,20.9
1983,6,5,28.89,4.98,16.94,29.76,16.94,36.98,20.05
1983,6,6,29.75,-0.54,14.61,30.13,18.7,38.98,20.27
1983,6,7,29.83,-1.99,13.92,29.9,17.05,38.62,21.56
1983,6,8,29.69,2.69,16.19,30.76,17.71,38.19,20.48
1983,6,9,28.23,6.2,17.21,29.86,13.71,35.25,21.54
1983,6,10,26.15,6.71,16.43,27.41,12.55,31.5,18.95
1983,6,11,26.06,7.94,17.0,27.49,11.75,32.13,20.38
1983,6,12,24.54,11.67,18.1,25.46,11.16,30.82,19.65
1983,6,13,25.49,11.51,18.5,26.47,13.63,32.26,18.64
1983,6,14,26.69,11.26,18.98,27.5,13.67,33.52,19.85
1983,6,15,26.83,11.04,18.94,28.19,14.31,33.7,19.39
1983,6,16,27.22,10.96,19.09,28.11,11.91,33.18,21.27
1983,6,17,26.84,10.22,18.53,27.64,13.42,33.4,19.99
1983,6,18,26.77,9.85,18.31,28.03,15.5,34.5,19.0
1983,6,19,27.49,9.19,18.34,28.51,14.41,34.29,19.88
1983,6,20,28.62,9.83,19.23,29.44,13.55,35.89,22.34
1983,6,21,28.77,9.67,19.23,29.62,12.88,35.72,22.85
1983,6,22,29.2,9.46,19.33,29.94,13.81,35.85,22.04
1983,6,23,28.63,11.23,19.94,29.33,10.84,34.06,23.23
1983,6,24,27.62,15.11,21.37,29.37,11.09,32.85,21.76
1983,6,25,26.4,16.77,21.58,28.16,8.93,31.62,22.69
1983,6,26,23.41,18.48,20.94,24.36,4.92,26.19,21.26
1983,6,27,23.48,19.38,21.44,24.1,6.64,27.14,20.5
1983,6,28,23.35,19.99,21.67,23.92,5.18,26.56,21.39
1983,6,29,23.67,19.1,21.38,24.54,7.39,28.0,20.61
1983,6,30,24.73,20.36,22.55,25.9,8.38,29.62,21.24
1983,7,1,24.81,19.22,22.01,25.94,6.71,28.48,21.76
1983,7,2,23.8,18.97,21.38,24.76,6.56,27.57,21.01
1983,7,3,23.39,18.37,20.88,24.87,8.03,27.9,19.87
1983,7,4,23.92,19.07,21.5,25.06,8.41,28.62,20.21
1983,7,5,24.62,19.0,21.81,26.19,7.9,29.09,21.19
1983,7,6,25.49,17.9,21.69,27.36,10.06,30.94,20.88
1983,7,7,26.47,15.65,21.06,27.84,9.41,31.76,22.35
1983,7,8,27.48,15.03,21.26,28.94,10.57,32.98,22.41
1983,7,9,27.23,15.58,21.4,28.68,9.49,31.91,22.41
1983,7,10,26.75,17.62,22.19,28.74,8.91,31.58,22.67
1983,7,11,26.58,18.68,22.63,28.23,8.7,31.29,22.58
1983,7,12,27.08,18.73,22.9,28.83,9.42,32.06,22.64
1983,7,13,27.81,18.27,23.05,29.66,10.41,33.37,22.97
1983,7,14,28.08,17.93,23.01,29.8,10.14,33.55,23.42
1983,7,15,29.15,17.12,23.14,30.34,9.92,34.64,24.72
1983,7,16,28.02,18.8,23.41,29.3,9.91,33.33,23.44
1983,7,17,25.81,20.3,23.05,27.35,8.28,30.74,22.46
1983,7,18,24.94,20.23,22.58,25.93,6.07,28.14,22.07
1983,7,19,25.38,20.32,22.85,26.86,8.32,29.87,21.55
1983,7,20,25.14,20.36,22.75,26.31,6.96,28.89,21.93
1983,7,21,24.36,20.87,22.61,24.77,5.05,27.36,22.3
